language
afr_Latn
sqi_Latn
ara_Arab
hye_Armn
eus_Latn
ben_Beng
bos_Latn
bre_Latn
bul_Cyrl
cat_Latn
zho_Hans
zho_Hant
eng_Latn
hrv_Latn
ces_Latn
dan_Latn
nld_Latn
epo_Latn
est_Latn
fin_Latn
fra_Latn
glg_Latn
kat_Geor
deu_Latn
ell_Grek
heb_Hebr
hin_Deva
hun_Latn
isl_Latn
ind_Latn
ita_Latn
jpn_Jpan
kor_Hang
lvs_Latn
lit_Latn
mkd_Cyrl
zsm_Latn
mal_Mlym
nor_Latn
fas_Arab
pol_Latn
por_Latn
ron_Latn
rus_Cyrl
srp_Cyrl
sin_Sinh
slk_Latn
slv_Latn
spa_Latn
swe_Latn
tgl_Latn
tam_Taml
tel_Telu
tha_Thai
tur_Latn
ukr_Cyrl
urd_Arab
vie_Latn
