language
afr_Latn
amh_Ethi
ara_Arab
azj_Latn
bel_Cyrl
bul_Cyrl
bul_Latn
ben_Beng
cat_Latn
ceb_Latn
cos_Latn
ces_Latn
cym_Latn
dan_Latn
deu_Latn
ell_Grek
ell_Latn
eng_Latn
epo_Latn
spa_Latn
est_Latn
eus_Latn
fas_Arab
fin_Latn
fil_Latn
fra_Latn
fry_Latn
gle_Latn
gla_Latn
glg_Latn
guj_Gujr
hau_Latn
haw_Latn
hin_Deva
hin_Latn
hmn_Latn
hat_Latn
hun_Latn
hye_Armn
ind_Latn
ibo_Latn
isl_Latn
ita_Latn
heb_Hebr
jpn_Jpan
jpn_Latn
jav_Latn
kat_Geor
kaz_Cyrl
khm_Khmr
kan_Knda
kor_Hang
kmr_Latn
kir_Cyrl
lat_Latn
ltz_Latn
lao_Laoo
lit_Latn
lvs_Latn
mlg_Latn
mri_Latn
mkd_Cyrl
mal_Mlym
mon_Cyrl
mar_Deva
zsm_Latn
mlt_Latn
mya_Mymr
npi_Deva
nld_Latn
nor_Latn
nya_Latn
pan_Guru
pol_Latn
pus_Arab
por_Latn
ron_Latn
rus_Cyrl
rus_Latn
snd_Arab
sin_Sinh
slk_Latn
slv_Latn
smo_Latn
sna_Latn
som_Latn
sqi_Latn
srp_Cyrl
sot_Latn
sun_Latn
swe_Latn
swh_Latn
tam_Taml
tel_Telu
tgk_Cyrl
tha_Thai
tur_Latn
ukr_Cyrl
urd_Arab
uzn_Latn
vie_Latn
xho_Latn
ydd_Hebr
yor_Latn
zho_Hans
zho_Latn
zul_Latn
