language
afr_Latn
amh_Ethi
ara_Arab
asm_Beng
azj_Latn
bel_Cyrl
bul_Cyrl
ben_Beng
ben_Latn
bre_Latn
bos_Latn
cat_Latn
ces_Latn
cym_Latn
dan_Latn
deu_Latn
ell_Grek
eng_Latn
epo_Latn
spa_Latn
est_Latn
eus_Latn
fas_Arab
ful_Latn
fin_Latn
fra_Latn
fry_Latn
gle_Latn
gla_Latn
glg_Latn
grn_Latn
guj_Gujr
hau_Latn
heb_Hebr
hin_Deva
hin_Latn
hrv_Latn
hat_Latn
hun_Latn
hye_Armn
ind_Latn
ibo_Latn
isl_Latn
ita_Latn
jpn_Jpan
jav_Latn
kat_Geor
kaz_Cyrl
khm_Khmr
kan_Knda
kor_Hang
kmr_Latn
kir_Cyrl
lat_Latn
lug_Latn
lim_Latn
lin_Latn
lao_Laoo
lit_Latn
lvs_Latn
mlg_Latn
mkd_Cyrl
mal_Mlym
mon_Cyrl
mar_Deva
zsm_Latn
mya_Mymr
npi_Deva
nld_Latn
nob_Latn
nso_Latn
orm_Latn
ory_Orya
pan_Guru
pol_Latn
pus_Arab
por_Latn
que_Latn
roh_Latn
ron_Latn
rus_Cyrl
san_Deva
sin_Sinh
snd_Arab
slk_Latn
slv_Latn
som_Latn
srd_Latn
sqi_Latn
srp_Cyrl
ssw_Latn
sun_Latn
swe_Latn
swh_Latn
tam_Taml
tam_Latn
tel_Telu
tel_Latn
tha_Thai
tgl_Latn
tsn_Latn
tur_Latn
uig_Arab
ukr_Cyrl
urd_Arab
urd_Latn
uzn_Latn
vie_Latn
wol_Latn
xho_Latn
ydd_Hebr
yor_Latn
zho_Hans
zho_Hant
zul_Latn
