glottocode,url,total_resources,dictionary,grammar_sketch,grammar,phonology,text,wordlist,comparative,minimal,dialectology,ethnographic,overview,bibliographical,specific_feature,socling,new_testament,unknown,status
fyam1238,https://glottolog.org/langdoc?language=fyam1238,16,0,0,1,0,1,6,4,0,0,2,5,0,0,0,0,0,ok
teiw1235,https://glottolog.org/langdoc?language=teiw1235,11,2,0,1,0,0,3,4,0,0,0,3,0,0,0,0,0,ok
east2542,https://glottolog.org/langdoc?language=east2542,28,2,3,2,0,1,0,5,0,0,3,3,0,3,1,0,0,ok
huzh1238,https://glottolog.org/langdoc?language=huzh1238,35,3,7,7,1,3,0,4,0,0,0,5,0,1,0,0,0,ok
sout3129,https://glottolog.org/langdoc?language=sout3129,5,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,ok
phra1235,https://glottolog.org/langdoc?language=phra1235,4,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,ok
west2398,https://glottolog.org/langdoc?language=west2398,8,0,0,0,1,0,0,1,0,0,3,1,0,2,0,0,0,ok
tyap1238,https://glottolog.org/langdoc?language=tyap1238,34,1,3,1,0,0,4,2,3,0,11,10,1,0,2,0,0,ok
kari1301,https://glottolog.org/langdoc?language=kari1301,9,2,1,1,1,0,1,2,1,1,0,2,0,0,0,0,0,ok
bund1253,https://glottolog.org/langdoc?language=bund1253,9,0,4,1,0,1,3,2,1,0,0,3,0,0,0,0,0,ok
birh1242,https://glottolog.org/langdoc?language=birh1242,23,0,0,0,0,1,3,3,1,0,16,4,0,1,0,0,0,ok
tafi1243,https://glottolog.org/langdoc?language=tafi1243,6,0,0,1,0,0,2,1,1,0,0,2,0,2,0,0,0,ok
aiku1240,https://glottolog.org/langdoc?language=aiku1240,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ok
lart1238,https://glottolog.org/langdoc?language=lart1238,13,0,0,2,0,0,3,1,1,0,1,3,0,2,1,0,0,ok
amda1238,https://glottolog.org/langdoc?language=amda1238,10,0,1,0,0,0,4,2,0,0,1,4,0,0,2,0,0,ok
nafu1238,https://glottolog.org/langdoc?language=nafu1238,15,0,2,1,0,2,1,1,1,0,0,1,0,0,0,0,0,ok
caju1236,https://glottolog.org/langdoc?language=caju1236,11,1,1,2,0,0,0,0,1,0,0,0,0,0,4,0,0,ok
alge1240,https://glottolog.org/langdoc?language=alge1240,4,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,ok
sant1447,https://glottolog.org/langdoc?language=sant1447,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,ok
mbuk1243,https://glottolog.org/langdoc?language=mbuk1243,27,3,3,0,3,0,2,0,0,0,1,2,0,1,0,0,0,ok
bisu1244,https://glottolog.org/langdoc?language=bisu1244,36,0,4,3,2,0,4,7,5,0,0,9,0,3,3,0,0,ok
tofi1235,https://glottolog.org/langdoc?language=tofi1235,7,0,0,0,0,0,0,3,2,0,0,4,0,0,1,0,0,ok
cafu1238,https://glottolog.org/langdoc?language=cafu1238,5,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,ok
hinu1240,https://glottolog.org/langdoc?language=hinu1240,20,2,3,4,0,1,0,2,0,0,1,2,0,1,0,0,0,ok
puru1266,https://glottolog.org/langdoc?language=puru1266,8,0,0,1,1,0,1,1,0,0,3,2,0,1,0,0,0,ok
garz1234,https://glottolog.org/langdoc?language=garz1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ok
xhos1239,https://glottolog.org/langdoc?language=xhos1239,694,38,48,48,18,13,11,11,2,0,47,27,6,23,3,0,0,ok
petj1238,https://glottolog.org/langdoc?language=petj1238,6,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,ok
kaka1265,https://glottolog.org/langdoc?language=kaka1265,12,1,3,1,0,0,2,3,1,0,0,2,0,3,0,0,0,ok
lepk1238,https://glottolog.org/langdoc?language=lepk1238,12,0,0,0,0,1,3,1,3,0,3,3,1,0,0,0,0,ok
sier1248,https://glottolog.org/langdoc?language=sier1248,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,ok
flin1247,https://glottolog.org/langdoc?language=flin1247,9,0,0,0,0,2,1,1,1,0,2,1,0,1,0,0,0,ok
nyan1308,https://glottolog.org/langdoc?language=nyan1308,464,36,36,53,14,5,18,26,2,0,21,19,2,23,7,0,0,ok
nzim1238,https://glottolog.org/langdoc?language=nzim1238,52,5,4,2,2,0,1,2,0,0,1,2,0,4,0,0,0,ok
mala1479,https://glottolog.org/langdoc?language=mala1479,142,14,47,8,8,1,10,11,7,3,13,12,4,10,2,0,0,ok
siyi1240,https://glottolog.org/langdoc?language=siyi1240,12,0,4,2,0,1,5,4,0,0,1,5,0,1,0,0,0,ok
hmwa1243,https://glottolog.org/langdoc?language=hmwa1243,6,0,0,0,1,1,1,3,0,0,0,2,0,1,0,0,0,ok
abur1244,https://glottolog.org/langdoc?language=abur1244,6,0,0,0,1,0,0,1,1,0,0,3,1,1,0,0,0,ok
chic1274,https://glottolog.org/langdoc?language=chic1274,50,0,0,0,1,0,2,3,1,0,1,2,0,4,0,0,0,ok
sahu1245,https://glottolog.org/langdoc?language=sahu1245,8,2,2,0,1,0,1,0,0,0,1,1,0,0,0,0,0,ok
rema1238,https://glottolog.org/langdoc?language=rema1238,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,ok
